Country,Alpha-2,Alpha-3,Continent,Anthem
Brazil,BR,BRA,South_America,"The placid shores of the Ipiranga heard the resounding shout of a heroic folk And the sun of Liberty in shining beams shone in the homeland's sky at that instant If the pledge of this equality we managed to conquer with strong arm In thy bosom, O Freedom, our chest defies death itself! O beloved, idolized homeland, Hail, hail! Brazil, an intense dream, a vivid ray of love and hope descends to earth If in thy beautiful, smiling and limpid sky the image of the (Southern) Cross blazes. Giant by thine own nature Thou art beautiful, strong, a fearless colossus And thy future mirrors that greatness Adored Land Amongst thousand others art thou, Brazil, O beloved homeland Of the sons of this ground Thou art kind mother Beloved homeland, Brazil Eternally lying on splendid cradle to the sound of sea and under deep sky light Thou flashest, Brazil, crocket of America, illuminated by the sun of New World Than the more garish land, thy smiling, pretty prairies have more flowers ""Our groves have more life"" ""Our life"" in thy bosom ""more loves"" O beloved, idolized homeland, hail, hail! Brazil, of eternal love be a symbol the starred labarum which thou displayst And say the laurel-green of this pennant ""Peace in the future and glory in the past"" But if thou raisest the strong mace of justice, see that a son of thine flees not from battle, nor do those who love thee fear their own death Adored Land Amongst thousand others art thou, Brazil, O beloved homeland Of the sons of this ground thou art kind mother Beloved homeland, Brazil"
Chile,CH,CHL,South_America,"Beloved Homeland, receive the vows That Chile gave you on your altars That you be either the tomb of the free Or a refuge from oppression The bloody fight has ceased; and yesterday's invader is now our brother; three centuries we washed the affront fighting in the field of honor. That who yesterday was a slave is free and triumphant today; freedom is the heritage of the brave, Victory lies shameful to his feet. Rise, Chile, with a spotless forehead; you conquered your name on the fight; always noble, constant and courageous the children of the Cid found you. May your free calmly crown the arts, industry and peace, and may they sing songs of your triumph to intimidate the daring despot. Your names, brave soldiers who have been Chile's mainstay, they are engraved in our chests; our children will know them as well. May they be the death cry that comes out when we march to the fight, and ringing in the mouth of the strong they always make the tyrant tremble. If the foreign cannon intends to invade, daring, our people; let's draw our arms and know victory or death. With its blood the proud Araucanian inherited its courage to us; and the sword doesn't tremble in the hand of that who defends the honor of Chile. How pure, Chile, is your blue sky And how pure the breezes that blow across you And your countryside embroidered with flowers Is a wonderful copy of Eden How majestic are the snow-covered mountains That were given to you by God as protection And the sea that tranquilly bathes your shores Promises future splendor for you hat pride, oh, Homeland!, those flowers growing on your fertile soil, may they never be stepped on by invaders; may your shadow cover them with peace. Our chests will be your bastion in your name we will know how to win, or your noble, glorious emblem will see us fall in the fight."
Colombia,CO,COL,South_America,"Oh, unwithering glory! Oh, immortal jubilance! In furrows of pain, goodness now germinates. The dreadful night has ceased. Sublime Liberty beams forth the dawn of her invincible light. All of humanity that groans within its chains, understands the words of He who died on the cross. ""Independence!"" shouts the American world; The land of Columbus. Is bathed in heroes' blood. But this great doctrine; ""The king is not the sovereign"", resounds, and those who suffer bless their passion. The Orinoco's bed Is heaped with plunder, Of blood and tears A river is seen to flow. neither souls nor eyes, know whether admiration to feel or fear to suffer. On the shores of the Caribbean, a famished people fight, preferring horror to fickle health. O, aye! from Cartagena heavy is the hardship, and death's rubble her virtue disdains From in the fields, the genius of glory, from every sprig a hero was crowned undefeated. Soldiers without armor won the victory; their virile spirit served them as a shield. Bolívar crosses the Andes bathed by two oceans, swords as though sparks flash in . Indomitable centaurs descend to the plains, and a premonition begins to be felt, of the epic's end. The victorious trumpet in Ayacucho loudly thunders, as in every triumph grows its formidable sound. In its expansive thrust Liberty is first felt, from the American sky forming a pavilion. In agony, the Virgin Tears out her hair, and bereft of her love, leaves it to hang on a cypress. Regretting her hope covered by a cold headstone, but glorious pride hallows her fair skin. Thus the motherland is formed, Thermopylaes bursting forth; a constellation of cyclops the night did brighten. The trembling flower finding the wind mortal, underneath the laurels safety sought. But it's not complete glory to defeat in battle, the arm that fights is encouraged by truth. For independence alone The great clamour doesn't silence; if the sun shines on everyone, justice is liberty. Of men the rights preaching, the soul of struggle was prophetically taught. Ricaurte in San Mateo, in atoms flying, ""Duty before life,"" with flames he wrote."
Ecuador,EC,ECU,South_America,"We greet you, Oh Fatherland, a thousand times! Oh Fatherland, Glory be to you! Glory be to you! Your breast, your breast, overflows, Your breast overflows with joy and peace; And your radiant face, your radiant face is brighter than the shining sun we see. Your children were outraged by the yoke That Iberian audacity imposed on you, By the unjust and horrendous disgrace Fatally weighing upon you. They cried out a holy voice to the heavens, that noble voice of a unbreakable pledge, to defeat that monster of blood, that this servile yoke would disappear. The first ones, the sons of the soil Which Pichincha adorns proudly, They declared you as their sovereign lady forever And shed their blood for you. God observed and accepted the holocaust, And that blood was the prolific seed Of other heroes whom the world in astonishment Saw rise up around you by the thousands. Rise up by the thousands, Rise up by the thousands. Of those heroes of iron arm No land was invincible, And from the valley to the highest sierra You could hear the roar of the fray. After the fray, Victory would fly, Freedom after the triumph would come, And the Lion was heard broken With a roar of helplessness and despair. At last Spanish ferocity yielded, And now, oh Fatherland, your free existence Is the noble and magnificent heritage Which the felicitous heroism gave us.: It was given to us from our Fathers' hands, Let no one take it from us now, Nor any daring fool wish to excite Our vengeful anger against himself. May no one, oh Fatherland, try it. The shadows of Your glorious heroes watch us, And the valor and pride that they inspire Are omens of victories for you. Come lead and the striking iron, That the idea of war and revenge Wakes the heroic strength That made the fierce Spanish succumb. And if new chains are prepared by The barbaric injustice of fate, Great Pichincha! May you prevent the death Of the country and their children in the end; Sink to the deep point in your gut All that exists on your soil. Let the tyrant Tread only ashes and in vain Look for any trace of being beside you."
Guyana,GY,GUY,South_America,"Dear land of Guyana, of rivers and plains Made rich by the sunshine, and lush by the rains, Set gem-like and fair, between mountains and seas, Your children salute you, dear land of the free. Green land of Guyana, our heroes of yore, Both bondsmen and free, laid their bones on your shore. This soil so they hallowed, and from them are we, All sons of one Mother, Guyana the free. Great land of Guyana, diverse though our strains, We're born of their sacrifice, heirs of their pains, And ours is the glory their eyes did not see, One land of six peoples, united and free. Dear land of Guyana, to you will we give, Our homage, our service, each day that we live; God guard you, great Mother, and make us to be More worthy our heritage, land of the free."
Paraguay,PY,PRY,South_America,"The peoples of the Americas, unfortunately, Were oppressed for three centuries by a scepter But one magnificent day surging forth, ""Enough!"", it said, and the scepter was broken. Our fathers, grandiose in battle, Showed their martial glory; And after smashing the august diadem, The triumphal cap was raised. Paraguayans: Republic or Death! Our spirit gave us liberty Neither oppressors nor slaves exist Where union and equality reign. A new Rome, the Fatherland shall proudly display Two leaders of name and valor Who, rivals, like Romulus and Remus Divided government and power. These long years when, during which Phoebus in the clouds Saw darken the pearl of the South, Today a grand hero appears Raising up again her glory and virtue, Europe and the entire world to her Gives salutes and also acclaimations To that invincible bastion of heroism, The magnificent Eden of riches. When discord rumbled all around Which fatally devoured other Peoples, Paraguayans, the sacred ground Was covered by an angel with its wings. Oh, how pure, of laurel girded Sweet Fatherland, in this manner you show yourself. In your ensign one sees the colors Of sapphire, diamond, and ruby. In your coat of arms, which the Sun illuminates, Under the cap, one sees the lion. Double image of the strong and the free, And of glories, the memory and crest. From the tomb of vile feudalism The national Deity rises free; Oppressors, bend your knees! Compatriots, entone the hymn! Sound the cry, ""Republic or death""! Our breasts exhale it with faith, And the mountains repeat its echoes Like giants arising in the land. Our Fatherland defends liberty and justice; So tyrants: listen! The laws in its sacred charter Will sustain its heroism in the fight. Against the world, if the world opposes it, If the world dares to insult her security, Battling to avenge we shall know her Or die embracing her. Arise, oh People, your splendid sword That strikes with sparkles of God, There is no middle ground between free or slave And an abyss divides the two. In the gentle breezes the Hymn resounds, Repeating with triumphal echo: For the free, renowned glory! For the Fatherland, immortal laurel!"
Peru,PE,PER,South_America,"We are free! May we always be so, may we always be so! And may the Sun renounce its light, its light, its light, Before we break the solemn vow which the homeland lifted up to the Eternal, Before we break the solemn vow which the homeland lifted up to the Eternal. Before we break the solemn vow which the homeland lifted up to the Eternal. For a long time the oppressed Peruvian the ominous chain he dragged Condemned to a cruel servitude for a long time, for a long time for a long time he quietly moaned But as soon as the sacred cry Freedom! in its coasts was heard the slaves' indolence shakes the humiliated, the humiliated, the humiliated neck raised up, the humiliated neck raised up, neck raised up We are free! May we always be so, may we always be so! And may the Sun renounce its light, its light, its light, Before we break the solemn vow which the homeland lifted up to the Eternal, Before we break the solemn vow which the homeland lifted up to the Eternal. Before we break the solemn vow which the homeland lifted up to the Eternal. Now the roar of rough chains that we had heard for three centuries of horror from the free, at the sacred cry that the world heard astonished, ceased. Everywhere the inflamed San Martín ""Freedom"", ""Freedom"" he pronounced; and the Andes, rocking their base, announced it as well, in unison. With its influx the peoples woke up, and like lighting ran the opinion; from the Isthmus to the Tierra del Fuego, and from Tierra del Fuego to the icy regions. Everyone vowed to break the link that Nature denied to both worlds, and break the sceptre that Spain had reclined, proudly, on both. Lima fulfilled this solemn vow, and, severe, its anger showed by throwing out the powerless tyrant, who had been trying to extend his oppression. On its endeavor the shackles cracked, and the furrows that it had repaired in itself stirred up its hatred and vengeance, inherited from its Inca and Lord. Countrymen, may we see it a slave no more. If for three centuries it moaned, humiliated, forever may we swear it'd be free, maintaining its own splendor. Our arms, until today unarmed, be they always readying the cannon, that some day the beaches of Iberia will feel the horror of its roar. May we arouse the jealousy of Spain since it has a premonition, with want and furor, that in a contest of great nations our country will enter in comparison. On the list formed by these we shall fill the line first, ahead of the ambitious Iberian tyrant, who devastated all of America. On its summits may the Andes sustain the two-color flag or standard, may it announce to the centuries the effort that being free, that being free that being free gave us forever. Under its shadow may we live calmly and, at birth of the sun in its summits, may we all renew the great oath that we rendered, that we rendered that we rendered to the God of Jacob, that we rendered to the God of Jacob, the God of Jacob. We are free! May we always be so, may we always be so! And may the Sun renounce its light, its light, its light, Before we break the solemn vow which the homeland lifted up to the Eternal, Before we break the solemn vow which the homeland lifted up to the Eternal. Before we break the solemn vow which the homeland lifted up to the Eternal."
Suriname,SR,SUR,South_America,"God be with our Suriname May He elevate our lovely land How we came here together We are dedicated to its soil Working we keep in mind Justice and truth will set free All that is good to devote oneself to Will give value to our land Rise countrymen, rise! The soil of Suriname is calling you. Wherever our ancestors came from We should take care of our country. There is a fight to fight, we shall not be afraid. God is our leader. Our whole life until death, We shall fight for Suriname."
Uruguay,UY,URY,South_America,"Orientals, our nation or the grave, Liberty or with glory we die. Orientals, our nation or the grave, Liberty or with glory we die. Its the vows that our souls pronounce and which heroically we will fulfill. Its the vows that our souls pronounce and which heroically we will fulfill. We will fulfill. Its the vows that our souls pronounce and which heroically we will fulfill. We will fulfill. We will fulfill. We will fulfill. We will fulfill. Liberty, Liberty, Orientals. This is the outcry which our nation saved and its braves in fierce battles of sublime enthusiasm enflamed Liberty, Liberty, Orientals. This is the outcry which our nation saved and its braves in fierce battles of sublime enthusiasm enflamed This Holy gift of Glory we deserved Tyrants: Tremble ! Tyrants: Tremble ! Tyrants: Tremble ! Liberty in combat we will Cry Out! And even dying, Freedom we shall also Shout ! Liberty in combat we will Cry Out! And even dying, Freedom we shall also Shout ! And even dying, Freedom we shall also Shout ! Freedom we shall also Shout ! Freedom we shall also Shout ! Orientals, our nation or the grave, Liberty or with glory we die. Orientals, our nation or the grave, Liberty or with glory we die. Its the vows that our souls pronounce and which heroically we will fulfill. Its the vows that our souls pronounce and which heroically we will fulfill. We will fulfill. Its the vows that our souls pronounce and which heroically we will fulfill. We will fulfill. We will fulfill. We will fulfill. We will fulfill."
Venezuela,VE,VEN,South_America,"Glory to the brave people which shook off the yoke, the Law respecting virtue and honour. Down with the chains! Cried out the Lord; and the poor man in his hovel for freedom implored. Upon this holy name trembled in fear the vile selfishness that had once triumphed. Glory to the brave people which shook off the yoke, the Law respecting virtue and honour. Let's cry out aloud:  Down with oppression!  Faithful countrymen, your strength lies in your unity; and from the heavens the supreme Creator breathed a sublime spirit into the nation. Glory to the brave people which shook off the yoke, the Law respecting virtue and honour. United by bonds made by heaven, all America exists as a Nation; and if tyranny raises its voice, follow the example given by Caracas."
United States of America,US,USA,North_America,"Oh, say can you see by the dawn's early light What so proudly we hailed at the twilight's last gleaming? Whose broad stripes and bright stars through the perilous fight, O'er the ramparts we watched were so gallantly streaming? And the rocket's red glare, the bombs bursting in air, Gave proof through the night that our flag was still there. Oh, say does that star-spangled banner yet wave O'er the land of the free and the home of the brave? On the shore, dimly seen through the mists of the deep, Where the foe's haughty host in dread silence reposes, What is that which the breeze, o'er the towering steep, As it fitfully blows, half conceals, half discloses? Now it catches the gleam of the morning's first beam, In full glory reflected now shines in the stream: 'Tis the star-spangled banner! Oh long may it wave O'er the land of the free and the home of the brave! And where is that band who so vauntingly swore That the havoc of war and the battle's confusion, A home and a country should leave us no more! Their blood has washed out their foul footsteps' pollution. No refuge could save the hireling and slave From the terror of flight, or the gloom of the grave: And the star-spangled banner in triumph doth wave O'er the land of the free and the home of the brave! Oh! thus be it ever, when freemen shall stand Between their loved home and the war's desolation! Blest with victory and peace, may the heav'n rescued land Praise the Power that hath made and preserved us a nation. Then conquer we must, when our cause it is just, And this be our motto: ""In God is our trust."" And the star-spangled banner in triumph shall wave Over the land of the free and the home of the brave!"
Canada,CA,CAN,North_America,"O Canada! Our home and native land! True patriot love thou dost in us command. We see thee rising fair, dear land, The True North, strong and free; And stand on guard, O Canada, We stand on guard for thee. O Canada! O Canada! O Canada! We stand on guard for thee, O Canada! We stand on guard for thee. O Canada! Where pines and maples grow, Great prairies spread and lordly rivers flow, How dear to us thy broad domain, From East to Western sea! Thou land of hope for all who toil! Thou True North, strong and free! O Canada! O Canada! O Canada! We stand on guard for thee, O Canada! We stand on guard for thee. O Canada! Beneath thy shining skies May stalwart sons and gentle maidens rise, To keep thee steadfast through the years From East to Western sea, Our own beloved native land, Our True North, strong and free! O Canada! O Canada! O Canada! We stand on guard for thee, O Canada! We stand on guard for thee. Ruler Supreme, Who hearest humble prayer, Hold our dominion within Thy loving care. Help us to find, O God, in Thee A lasting, rich reward, As waiting for the Better Day, We ever stand on guard. O Canada! O Canada! O Canada! We stand on guard for thee, O Canada! We stand on guard for thee."
Mexico,MX,MEX,North_America,"Mexicans, at the cry of battle lend your swords and bridle; and the earth shall tremble at its core upon the roar of the cannon. Your forehead shall be girded, oh fatherland, with olive garlands by the divine archangel of peace, For in heaven your eternal destiny has been written by the hand of God. But should a foreign enemy Profane your land with his sole, Think, beloved fatherland, that heaven gave you a soldier in each son. War, war without truce against who would attempt to blemish the honor of the fatherland! War, war! The patriotic banners saturate in waves of blood. War, war! On the mount, in the vale The terrifying cannon thunder and the echoes nobly resound to the cries of union! liberty! Fatherland, before your children become unarmed Beneath the yoke their necks in sway, May your countryside be watered with blood, On blood their feet trample. And may your temples, palaces and towers crumble in horrid crash, and their ruins exist saying: The fatherland was made of one thousand heroes here. Fatherland, fatherland, your children swear to exhale their breath in your cause, If the bugle in its belligerent tone should call upon them to struggle with bravery. For you the olive garlands! For them a memory of glory! For you a laurel of victory! For them a tomb of honor!"
Guatemala,GT,GTM,North_America,"Glad Joyous Guatemala! may your altar Never be trampled by the tormentor Nor may slaves lick the yoke Nor may tyrants spit upon your face If tomorrow your sacred soil By foreign invasion is threatened Free into the wind, your beautiful flag To victory or death it shall call Free into the wind, your beautiful flag To victory or death it shall call Your people will, with fiery soul, die before being enslaved. From your old and hard chains You forged, with an ire-driven hand, The plow that fertilizes the soil And the honor-saving sword. Our fathers fought one day, Lit up in patriotic burning And they managed, without bloody clash, To place you on a throne of love. And they managed, without bloody clash, To place you on a throne of love, And our Nation, in energetic assent, Gave life to the redeeming ideal. Your emblem is a piece of the sky From which a cloud gets its whiteness And woe onto him who dares in blind madness your colours to stain! For your sons, brave and zealous, who adore peace as a great treasure will never avoid the rough battle to defend their land and their home. They will never avoid the rough battle to defend their land and their home as well as the altar of the mother country, their altar. Lying upon the proud Ande, of the two oceans, hearing its noise, under the gold and crimson red wing of the beautiful quetzal you will become entranced. Native bird that lives in your seal the protector of your soil May it fly high more than the condor and the royal eagle! May it fly high more than the condor and the royal eagle And in its wings, may it raise up to the sky Guatemala, your name, immortal!"
Cuba,CU,CUB,North_America,"To combat, run, Bayamesans! For the homeland looks proudly upon you; Do not fear a glorious death, For to die for the homeland is to live. To live in chains is to live Mired in shame and disgrace. Hear the sound of the bugle: To arms, brave ones, run! Fear not the vicious Iberians, They are cowards like every tyrant. They cannot oppose the spirited Cuban; Their empire has forever fallen. Free Cuba! Spain has already died, Its power and pride, where did it go? Hear the sound of the bugle: To arms, brave ones, run! Behold our triumphant troops, Behold those who have fallen. Because they were cowards, they flee defeated; Because we were brave, we knew how to triumph. Free Cuba! we can shout From the cannon's terrible boom. Hear the sound of the bugle, To arms, brave ones, run!"
Haiti,HT,HTI,North_America,"For Haiti, the Country of the Ancestors we must walk hand in hand There must not be traitors among us-- We alone must be our master Let's walk hand in hand that Haiti may be more beautiful Let us put our heads together for Haiti on behalf of all her ancestors For Haiti on the behalf of the Ancestors Let us mow, let us sow. All our strength rests in the soul-- It is what feeds us. Let us mound up earth, let us send water With joy, the earth must be fertile Mow, water, women and men that we may live by our own arms' strength alone. For Haiti and for the Ancestors We must be courageous, capable men. People are not born to serve others That is why all mothers and fathers Need to send children to school, to learn, to know what Toussaint, Dessalines, Christophe, Pétion did to take Haitians from under the whites' boot. For Haiti on the behalf of the Ancestors Let us raise our head and look above. Let everyone to ask the Lord to grant us protection that the evil angels may not divert us, that we may walk in the right path. For liberty to be able to liberate, justice must spread over the country! We have a flag like all peoples. Let us love it, die for it. It was not a gift from the whites-- It was our Ancestors' blood that was shed. Let us hold our flag high. Let us work together and focus that other countries may respect it This flag is the soul of every Haitian."
Dominican Republic,DO,DOM,North_America,"Brave , Let’s raise our song with vivid emotion, From the world to the face of the earth Show our unconquered glorious banner. Hail, the nation who strong and intrepid, Into war launched itself set to die When in a warring challenge to the death Its chains of slavery still it cut off. No people deserves to be free If it’s an indolent slave and servile; If in its chest doesn't grow the flame that forged virile heroism. But the brave and indomitable Always proudly her forehead will raise For if she were a thousand times a slave This many times to be free she will know. And if fraud and cunning exposed her To disdain of an intrusive man, Las Carreras! Beler!...were fields Which covered in glory were seen. At the top of our heroic bastion, Word of the free was materialized, Where the genius of Sanchez and Duarte Taught us to be free or to die. And if could inconsiderate leader Reduce the luster of these glories, Of the war seen in Capotillo The banner of fire waves on. And the fire that leaves shocked The arrogant lion from Castile, Removes it from glorious beaches to Where floats the banner that’s crossed. Compatriots, let’s show erect our Forehead, proud of today for; will be destroyed But slave again, never. That every chest is of love a sanctuary Where one feels the homeland lives; It is the law her invincible shield; It is her motto be free or die. Liberty that still serenely lifts up Victory in her triumphal carriage. The trumpet of war still resounds Proclaiming her immortal glory Liberty! Let the echoes agitate While full of noble anxiety Our battlefields of glory repeat Liberty! Liberty! Liberty!"
Honduras,HN,HND,North_America,"Your flag, your flag is a piece of sky crossed, oh crossed by a dash of snow. And on its hallowed ground can be seen five stars of a pale blue. On your crest, that a clamorous sea shields with its roaring waves. Beyond a volcano, beyond a volcano its top bared there's a star, there's a star of radiant light.   Indian, virgin and beautiful you slept to the resounding chants of your sea, when, lying in your golden banks the bold navogator found you, and awe-struck at beholding your beauty under the perfect thrall of your charm, the blue hem of your splendid cape sanctified with his kiss of love.    Of a country where the sun rises, beyond the blue Atlantic, that man that had dreamed of you and set out to sea looking for you. When you raised your pale forehead, on the living anxiety of your longing, under the gentle dome of your sky a strange banner already floated.    It was useless that your beloved, the indian wrathfully prepared for the fight, because, his Lempirian blood wrapped around him he sunk into the depths of night. And of the epic deed, in his memory, only the legend has been kept, the place of its burial unknown to all and the stoic profile of a crag.    For three hundred your children heard the imperative call of the master, for three centuries your useless call got lost in the blue air. But one day, glory, your ear sensed that, powerful and distant, that far away, across the Atlantic, a lion roared in indignation.    It was France, the free, the heroic, that asleep in his centuries long dream, awakened, infuriated, to life at the virile call of Danton, it was France, that sent forth to death the head of the consecrated King, and that built, proud at its side the altar of the goddess Reason.    You too, o homeland! did rise of your deep, servile sleep and you, too, showed the world that laid in pieces the infamous link of your chain. And in your blessed soil, beyond the tall mane of the savage mountain, like a bird of black plumage, the short-lived colony was lost.    So as to keep this divine crest O homeland, we'll march into death. Our luck will be generous if we die while thinking of your love, defending your sacred flag. And many, Honduras, will be your dead wrapped up in your glorious folds, but all will fall with honor. https://lyricstranslate.com"
El Salvador,SV,SLV,North_America,"Let us salute the Fatherland, Proud to be called its children, And let us spiritedly swear our lives To consecrate its good without rest! Consecrate, consecrate Of the peace in the supreme happiness Ever noble El Salvador dreamed To achieve this has been Her eternal proposition, To keep it, Her greatest glory. And with unwavering faith, the path of progress She strives to follow, to follow To fulfil Her greatest destiny And conquer a happy future. A stern barrier protects Her Against the clash of vile disloyalty, Ever since the day when Her soaring Flag, Wrote ""LIBERTY!"" with Its blood. Freedom is Her dogma and Her guide; A thousand times She has managed to defended it, And as many times She repelled The hateful power of atrocious tyranny. bloody and sad her story is, Yet at the same time sublime and brilliant, A source of legitimate glory And a great lesson in spartan pride. Her innate bravery does not waver: In every man there is an immortal hero Who will know how to keep himself up to The proverbial valor of old. Proverbial valor. Proverbial valor. All are devoted and faithful To the tradition of warlike bravery With which they have always reaped fame By saving the Motherland's honour. To respect the rights of others And base Her actions on right and justice Is for Her, without infamous trickery, The constant and most firm ambition. And in following this line She persists, Dedicating her tenacious efforts In waging hard war to war; Her fortune is found in peace. Is found in peace. Is found in peace."
Nicaragua,NI,NIC,North_America,"Hail to thee, Nicaragua! On thy land roars the voice of the cannon no more, nor does the blood of brothers now stain thy glorious bicolor banner. Let peace shine beautifully in thy sky, and nothing dims your immortal glory, for work is thy well earned laurel and honor is thy triumphal emblem!"
Costa Rica,CR,CRI,North_America,"Noble homeland, your beautiful flag Expresses for us your life, Under the limpid blue of your skies, Peace reigns, white and pure. In the tenacious battle of fruitful toil, That brings a glow to men's faces, Your sons, simple farm hands, Gained eternal renown, esteem and honour. Hail, gentle country! Hail, loving mother! If anyone should attempt to besmirch your glory, You will see your people, valiant and virile, Exchange their rustic tools for weapons. Hail, O homeland! Your prodigal soil Gives us sweet sustenance and shelter. Under the limpid blue of your sky, May peaceful labour ever continue."
Panama,PA,PAN,North_America,"At last we reached victory In the joyous field of the union; With ardent fires of glory A new nation is alight. It is necessary to cover with a veil The past times of Calvary and cross; Let now the blue skies be adorned with The splendid light of the concord. Progress caresses your path. To the rhythm of a sublime song, You see both your seas roar at your feet Giving you a path to your noble mission. In your soil covered with flowers To the kisses of the warm terrestrial breeze, Warrior roars have ceased; Only fraternal love reigns. Ahead the shovel and pick, At work without any more dilation, and we will be as such at work and gala of this fruitful world of Columbus."
Puerto Rico,PR,PRI,North_America,"The land of Borinquen where I have been born is a flowery garden of magical beauty. A constantly clear sky serves as its canopy and placid lullabies are sung by the waves at its [Borinquen's] feet. When at her beaches Columbus arrived full of awe he exclaimed, ""Oh!, oh!, oh!, this is the lovely land that I seek"" Borinquen is the daughter, the daughter of the sea and the sun. Of the sea and the sun, of the sea and the sun, of the sea and the sun, of the sea and the sun."
Jamaica,JM,JAM,North_America,"Eternal Father bless our land Guard us with Thy mighty hand Keep us free from evil powers Be our light through countless hours To our leaders, Great Defender, Grant true wisdom from above Justice, truth be ours forever Jamaica, land we love Jamaica, Jamaica, Jamaica, land we love Teach us true respect for all Stir response to duty's call Strengthen us the weak to cherish Give us vision lest we perish Knowledge send us, Heavenly Father, Grant true wisdom from above Justice, truth be ours forever Jamaica, land we love Jamaica, Jamaica, Jamaica, land we love."
Trinidad and Tobago,TT,TTO,North_America,"Forged from the love of liberty In the fires of hope and prayer With boundless faith in our destiny We solemnly declare: Side by side we stand Islands of the blue Caribbean sea, This our native land We pledge our lives to thee. Here every creed and race find an equal place, And may God bless our nation Here every creed and race find an equal place, And may God bless our nation."
Bahamas,BS,BHS,North_America,"Lift up your head to the rising sun,  March on to glory, your bright banners waving high. See how the world marks the manner of your bearing! Pledge to excel through love and unity. Pressing onward, march together to a common loftier goal; Steady sunward, tho' the weather hide the wide and treacherous shoal. Lift up your head to the rising sun,  'Til the road you've trod lead unto your God"
Belize,BZ,BLZ,North_America,"O, Land of the Free by the Carib Sea, Our manhood we pledge to thy liberty! No tyrants here linger, despots must flee This tranquil haven of democracy The blood of our sires which hallows the sod, Brought freedom from slavery, oppression's rod By the might of truth, and the grace of God, No longer shall we be hewers of wood. Arise! ye sons of the Baymen's clan, Put on your armour, clear the land! Drive back the tyrants, let despots flee - Land of the Free by the Carib Sea! Nature has blessed thee with wealth untold, O'er mountains and valleys where prairies roll; Our fathers, the Baymen, valiant and bold Drove back the invader; this heritage hold From proud Rio Hondo to old Sarstoon, Through coral isle, over blue lagoon; Keep watch with the angels, the stars and moon; For freedom comes tomorrow's noon."
Barbados,BB,BRB,North_America,"In plenty and in time of need When this fair land was young Our brave forefathers sowed the seed From which our pride was sprung A pride that makes no wanton boast Of what it has withstood That binds our hearts from coast to coast The pride of nationhood We loyal sons and daughters all Do hereby make it known These fields and hills beyond recall Are now our very own We write our names on history's page With expectations great Strict guardians of our heritage Firm craftsmen of our fate The Lord has been the people's guide For past three hundred years. With Him still on the people's side We have no doubts or fears. Upward and onward we shall go, Inspired, exulting, free, And greater will our nation grow In strength and unity."
Saint Lucia,LC,LCA,North_America,"Sons and daughters of Saint Lucia, love the land that gave us birth. Land of beaches, hills and valleys, fairest isle of all the earth! Wheresoever you may roam, love oh love, our island home. Gone the times when nations battled for this ' Helen of the West '. Gone the days when strife and discord dimmed her children's toil and rest. Dawns at last a brighter day, stretches out a glad new way. May the good Lord bless our island, guard her sons from woe and harm. May our people live united, strong in soul and strong in arm. Justice, Truth and Charity, our ideal forever be!"
Grenada,GD,GRD,North_America,"Hail! Grenada, land of ours, We pledge ourselves to thee, Heads, hearts and hands in unity To reach our destiny. Ever conscious of God, Being proud of our heritage, May we with faith and courage Aspire, build, advance As one people, one family. God bless our nation."
Antigua and Barbuda,AG,ATG,North_America,"Fair Antigua and Barbuda! We thy sons and daughters stand Strong and firm in peace or danger To safeguard our native land We commit ourselves to building A true nation brave and free; Ever striving, ever seeking, Dwell in love and unity Raise the standard! Raise it boldly! Answer now to duty's call To the service of thy country, Sparing nothing, giving all; Gird your loins and join the battle 'Gainst fear, hate and poverty, Each endeavouring, all achieving, Live in peace where man is free. God of nations, let Thy blessings Fall upon this land of ours; Rain and sunshine ever sending, Fill her fields with crops and flowers; We her children do implore Thee, Give us strength, faith, loyalty, Never failing, all enduring To defend her liberty."
Dominica,DM,DMA,North_America,"Isle of beauty, isle of splendour, Isle to all so sweet and fair, All must surely gaze in wonder At thy gifts so rich and rare. Rivers, valleys, hills and mountains, All these gifts we do extol. Healthy land, so like all fountains, Giving cheer that warms the soul. Dominica, God hath blest thee With a clime benign and bright, Pastures green and flowers of beauty Filling all with pure delight, And a people strong and healthy, Full of godly reverent fear. May we ever seek to praise Thee For these gifts so rich and rare. Come ye forward, sons and daughters Of this gem beyond compare. Strive for honour, sons and daughters, Do the right, be firm, be fair. Toil with hearts and hands and voices. We must prosper! Sound the call, In which ev'ryone rejoices, ""All for Each and Each for All."""
Bermuda,BM,BMU,North_America,"Hail to Bermuda, My island in the sun. Sing out in glory To the nation we've become. We've grown from heart to heart, And strength to strength, The privilege is mine To sing long live Bermuda, Because this island's mine! Hail to Bermuda, My homeland dear to me. This is my own land Built on faith And unity. We've grown from heart to heart And strength to strength, For Loyalty is Prime So sing long live Bermuda, Because this island's mine!"
Greenland,GL,GRL,North_America,"Our country, which has become so old your head is all covered with white hair. Always held us, your children, in your bosom and gave us the riches of your coasts. As middle children in the family we blossomed here we want to call ourselves before your proud and honourable head. Humbleness is not the course, wake up and be proud! A dignified life is our goal; courageously take a stand"
